StockDate,ProdId,StockQty
2023-06-27,1,1
2023-06-27,2,1
2023-06-27,3,2
2023-06-27,4,2
2023-06-27,5,3
2023-06-27,6,1
2023-06-27,7,1
2023-06-27,8,1
2023-06-27,9,1
2023-06-27,10,3
2023-06-27,11,3
2023-06-27,12,2
2023-06-27,13,4
2023-06-27,14,1
2023-06-27,15,1
2023-06-27,16,1
2023-06-27,17,1
2023-06-27,18,1
2023-06-27,19,3
2023-06-27,20,1
2023-06-27,21,1
2023-06-27,22,3
2023-06-27,23,3
2023-06-27,24,1
2023-06-27,25,1
2023-06-27,26,1
2023-06-27,27,1
2023-06-27,28,2
2023-06-27,29,1
2023-06-27,30,4
2023-06-27,31,2
2023-06-27,32,1
2023-06-27,33,1
2023-06-27,34,1
2023-06-27,35,1
2023-06-27,36,1
2023-06-27,37,1
2023-06-27,38,1
2023-06-27,39,1
2023-06-27,40,2
