OrderId,OrderDate,ProdId,CustId,Qty,IsHonored
955278,2023-06-28,4,69,10,True
955279,2023-06-28,6,31,15,True
955280,2023-06-28,3,70,10,True
955281,2023-06-28,40,89,6,True
955282,2023-06-28,29,94,1,True
955283,2023-06-28,33,1,10,True
955284,2023-06-28,30,1,20,True
955285,2023-06-28,21,51,20,True
955286,2023-06-28,37,30,6,True
955287,2023-06-28,10,83,6,True
955288,2023-06-28,39,97,1,True
955289,2023-06-28,31,75,6,True
955290,2023-06-28,20,63,8,True
955291,2023-06-28,33,84,12,True
955292,2023-06-28,20,70,20,True
955293,2023-06-28,15,33,2,True
955294,2023-06-28,36,92,1,True
955295,2023-06-28,5,54,5,True
955296,2023-06-28,19,86,10,True
955297,2023-06-28,35,16,20,True
955298,2023-06-28,37,77,14,True
955299,2023-06-28,11,51,8,True
955300,2023-06-28,40,62,6,True
955301,2023-06-28,39,36,14,True
955302,2023-06-28,3,29,10,True
955303,2023-06-28,19,28,2,True
955304,2023-06-28,13,19,25,True
955305,2023-06-28,11,6,6,True
955306,2023-06-28,37,19,14,True
955307,2023-06-28,34,64,15,True
955308,2023-06-28,39,5,10,True
955309,2023-06-28,27,54,6,True
955310,2023-06-28,32,99,1,True
955311,2023-06-28,7,72,15,True
955312,2023-06-28,7,83,14,True
955313,2023-06-28,39,93,2,True
955314,2023-06-28,11,62,25,True
955315,2023-06-28,15,49,6,True
955316,2023-06-28,17,7,12,True
955317,2023-06-28,7,74,6,True
955318,2023-06-28,12,74,6,True
955319,2023-06-28,3,7,2,True
955320,2023-06-28,31,27,2,True
955321,2023-06-28,7,33,25,False
955322,2023-06-28,25,44,5,True
955323,2023-06-28,20,100,5,True
955324,2023-06-28,37,20,25,False
955325,2023-06-28,10,7,8,True
955326,2023-06-28,14,6,14,True
955327,2023-06-28,15,6,2,True
955328,2023-06-28,33,51,25,True
955329,2023-06-28,10,83,2,True
955330,2023-06-28,34,50,10,True
955331,2023-06-28,13,65,8,True
955332,2023-06-28,8,17,25,True
955333,2023-06-28,20,52,6,True
955334,2023-06-28,26,35,6,True
955335,2023-06-28,34,69,8,True
955336,2023-06-28,4,4,12,True
955337,2023-06-28,4,65,15,True
955338,2023-06-28,34,19,10,True
955339,2023-06-28,38,26,1,True
955340,2023-06-28,28,43,10,True
955341,2023-06-28,40,15,1,True
955342,2023-06-28,14,13,20,True
955343,2023-06-28,23,34,6,True
955344,2023-06-28,35,75,15,True
955345,2023-06-28,23,55,5,True
955346,2023-06-28,34,70,15,False
955347,2023-06-28,36,18,12,True
955348,2023-06-28,3,44,20,True
955349,2023-06-28,11,98,12,False
955350,2023-06-28,9,92,8,True
955351,2023-06-28,20,38,5,True
955352,2023-06-28,20,50,14,False
955353,2023-06-28,13,53,15,True
955354,2023-06-28,7,69,5,True
955355,2023-06-28,18,14,12,True
955356,2023-06-28,40,66,10,True
955357,2023-06-28,22,72,15,True
955358,2023-06-28,38,93,15,True
955359,2023-06-28,11,74,15,False
955360,2023-06-28,9,14,2,True
955361,2023-06-28,27,36,14,True
955362,2023-06-28,18,33,10,True
955363,2023-06-28,26,63,25,True
955364,2023-06-28,21,66,1,True
955365,2023-06-28,11,55,8,True
955366,2023-06-28,31,54,1,True
955367,2023-06-28,13,36,10,False
955368,2023-06-28,15,22,1,True
955369,2023-06-28,24,6,8,True
955370,2023-06-28,9,26,8,True
955371,2023-06-28,14,55,25,False
955372,2023-06-28,22,40,8,True
955373,2023-06-28,24,78,14,True
955374,2023-06-28,25,64,1,True
955375,2023-06-28,29,52,12,True
955376,2023-06-28,22,62,14,True
955377,2023-06-28,30,1,6,True
955378,2023-06-28,11,19,12,False
955379,2023-06-28,37,58,14,True
955380,2023-06-28,36,40,8,True
955381,2023-06-28,36,40,20,True
955382,2023-06-28,1,76,5,True
955383,2023-06-28,12,62,5,True
955384,2023-06-28,14,62,6,True
955385,2023-06-28,26,60,14,True
955386,2023-06-28,2,80,10,True
955387,2023-06-28,36,87,15,False
955388,2023-06-28,39,96,5,True
955389,2023-06-28,19,15,6,True
955390,2023-06-28,33,67,6,False
955391,2023-06-28,6,67,2,True
955392,2023-06-28,15,66,5,True
955393,2023-06-28,16,3,20,True
955394,2023-06-28,31,35,14,True
955395,2023-06-28,9,11,2,True
955396,2023-06-28,21,91,15,True
955397,2023-06-28,18,20,12,True
955398,2023-06-28,21,51,6,True
955399,2023-06-28,31,84,5,True
955400,2023-06-28,40,25,10,True
955401,2023-06-28,13,24,2,False
955402,2023-06-28,27,57,5,True
955403,2023-06-28,10,70,15,True
955404,2023-06-28,31,53,10,True
955405,2023-06-28,30,17,8,True
955406,2023-06-28,24,67,5,True
955407,2023-06-28,27,4,5,True
955408,2023-06-28,16,43,12,True
955409,2023-06-28,15,44,20,True
955410,2023-06-28,18,43,25,False
955411,2023-06-28,26,89,15,False
955412,2023-06-28,37,37,5,False
955413,2023-06-28,37,64,25,False
955414,2023-06-28,40,89,10,True
955415,2023-06-28,18,13,8,True
955416,2023-06-28,1,29,25,True
955417,2023-06-28,14,18,5,True
955418,2023-06-28,16,62,2,True
955419,2023-06-28,30,55,5,True
955420,2023-06-28,5,5,10,True
955421,2023-06-28,2,83,1,True
955422,2023-06-28,32,39,2,True
955423,2023-06-28,13,73,14,False
955424,2023-06-28,20,12,5,True
955425,2023-06-28,31,74,1,True
955426,2023-06-28,32,85,2,True
955427,2023-06-28,21,98,20,False
955428,2023-06-28,26,62,2,True
955429,2023-06-28,2,100,10,True
955430,2023-06-28,2,2,20,True
955431,2023-06-28,23,85,1,True
955432,2023-06-28,34,96,1,True
955433,2023-06-28,26,27,5,False
955434,2023-06-28,23,53,2,True
955435,2023-06-28,13,74,6,False
955436,2023-06-28,14,33,8,False
955437,2023-06-28,25,98,14,True
955438,2023-06-28,15,91,8,True
955439,2023-06-28,5,85,8,True
955440,2023-06-28,17,59,15,True
955441,2023-06-28,34,2,8,False
955442,2023-06-28,22,92,1,True
955443,2023-06-28,40,29,6,True
955444,2023-06-28,21,92,12,False
955445,2023-06-28,2,58,2,True
955446,2023-06-28,22,21,15,False
955447,2023-06-28,2,12,15,False
955448,2023-06-28,32,16,5,True
955449,2023-06-28,37,76,10,False
955450,2023-06-28,22,34,5,True
955451,2023-06-28,29,55,12,True
955452,2023-06-28,29,64,20,True
955453,2023-06-28,21,73,10,False
955454,2023-06-28,1,36,10,True
955455,2023-06-28,32,92,5,True
955456,2023-06-28,11,10,5,False
955457,2023-06-28,39,73,1,True
955458,2023-06-28,9,64,10,True
955459,2023-06-28,30,64,14,False
955460,2023-06-28,29,78,10,False
955461,2023-06-28,3,68,20,False
955462,2023-06-28,35,79,10,True
955463,2023-06-28,36,44,14,False
955464,2023-06-28,12,56,14,True
955465,2023-06-28,20,80,6,False
955466,2023-06-28,29,40,10,False
955467,2023-06-28,28,29,5,True
955468,2023-06-28,29,97,2,True
955469,2023-06-28,28,44,6,True
955470,2023-06-28,25,49,1,True
955471,2023-06-28,9,86,1,True
955472,2023-06-28,36,20,5,True
955473,2023-06-28,2,8,12,False
955474,2023-06-28,31,49,10,True
955475,2023-06-28,24,72,1,True
955476,2023-06-28,17,56,6,True
955477,2023-06-28,11,67,8,False
955478,2023-06-28,31,18,2,False
955479,2023-06-28,24,25,14,True
955480,2023-06-28,27,23,25,False
955481,2023-06-28,33,99,20,False
955482,2023-06-28,34,100,15,False
955483,2023-06-28,39,23,2,True
955484,2023-06-28,12,95,20,True
955485,2023-06-28,37,84,6,False
955486,2023-06-28,16,48,10,True
955487,2023-06-28,30,38,12,False
955488,2023-06-28,25,66,20,True
955489,2023-06-28,35,51,2,True
955490,2023-06-28,8,98,8,True
955491,2023-06-28,18,73,20,False
955492,2023-06-28,20,20,10,False
955493,2023-06-28,32,97,8,True
955494,2023-06-28,17,37,6,True
955495,2023-06-28,25,35,2,True
955496,2023-06-28,20,24,25,False
955497,2023-06-28,38,49,25,True
955498,2023-06-28,25,38,1,True
955499,2023-06-28,24,92,8,False
955500,2023-06-28,19,75,5,True
955501,2023-06-28,8,91,20,False
955502,2023-06-28,28,54,2,True
955503,2023-06-28,40,99,8,False
955504,2023-06-28,2,90,12,False
955505,2023-06-28,4,9,8,True
955506,2023-06-28,5,73,2,True
955507,2023-06-28,26,99,10,False
955508,2023-06-28,18,68,8,False
955509,2023-06-28,1,87,2,True
955510,2023-06-28,33,25,12,False
955511,2023-06-28,8,37,5,True
955512,2023-06-28,29,25,14,False
955513,2023-06-28,34,35,5,True
955514,2023-06-28,5,4,8,True
955515,2023-06-28,23,31,25,True
955516,2023-06-28,27,64,12,True
955517,2023-06-28,17,72,6,True
955518,2023-06-28,18,77,6,True
955519,2023-06-28,5,39,6,True
955520,2023-06-28,9,64,10,True
955521,2023-06-28,5,66,10,True
955522,2023-06-28,19,16,6,True
955523,2023-06-28,26,6,5,False
955524,2023-06-28,32,15,10,True
955525,2023-06-28,16,8,20,False
955526,2023-06-28,37,78,10,False
955527,2023-06-28,13,82,14,False
955528,2023-06-28,15,94,15,False
955529,2023-06-28,38,90,5,True
955530,2023-06-28,25,8,2,True
955531,2023-06-28,28,75,6,True
955532,2023-06-28,21,58,15,False
955533,2023-06-28,30,50,25,False
955534,2023-06-28,9,87,6,True
955535,2023-06-28,5,58,6,False
955536,2023-06-28,36,80,12,False
955537,2023-06-28,21,15,25,False
955538,2023-06-28,27,4,25,False
955539,2023-06-28,8,34,8,True
955540,2023-06-28,10,78,8,True
955541,2023-06-28,36,37,5,False
955542,2023-06-28,38,24,14,False
955543,2023-06-28,4,94,2,True
955544,2023-06-28,23,66,1,True
955545,2023-06-28,18,78,15,False
955546,2023-06-28,40,34,14,False
955547,2023-06-28,20,63,6,False
955548,2023-06-28,20,73,12,False
955549,2023-06-28,16,40,25,False
955550,2023-06-28,8,91,2,True
955551,2023-06-28,24,91,10,False
955552,2023-06-28,9,17,12,False
955553,2023-06-28,20,51,12,False
955554,2023-06-28,38,20,1,True
955555,2023-06-28,1,73,25,False
955556,2023-06-28,15,93,6,False
955557,2023-06-28,9,76,14,False
955558,2023-06-28,14,82,15,False
955559,2023-06-28,32,53,6,True
955560,2023-06-28,34,80,8,False
955561,2023-06-28,38,59,20,False
955562,2023-06-28,30,11,5,True
955563,2023-06-28,14,44,8,False
955564,2023-06-28,39,17,10,True
955565,2023-06-28,30,79,8,False
955566,2023-06-28,37,32,20,False
955567,2023-06-28,3,76,20,False
955568,2023-06-28,25,16,1,True
955569,2023-06-28,35,21,6,False
955570,2023-06-28,28,86,25,False
955571,2023-06-28,11,54,25,False
955572,2023-06-28,38,38,6,False
955573,2023-06-28,13,75,5,False
955574,2023-06-28,10,15,2,True
955575,2023-06-28,14,38,14,False
955576,2023-06-28,9,96,14,False
955577,2023-06-28,8,38,14,False
955578,2023-06-28,13,50,25,False
955579,2023-06-28,22,56,8,False
955580,2023-06-28,30,84,6,False
955581,2023-06-28,30,24,2,True
955582,2023-06-28,2,37,1,True
955583,2023-06-28,20,45,1,False
955584,2023-06-28,6,66,2,True
955585,2023-06-28,8,100,2,False
955586,2023-06-28,35,37,5,False
955587,2023-06-28,17,19,20,False
955588,2023-06-28,37,85,15,False
955589,2023-06-28,33,26,20,False
955590,2023-06-28,5,2,6,False
955591,2023-06-28,38,79,2,True
955592,2023-06-28,31,93,12,False
955593,2023-06-28,19,75,10,True
955594,2023-06-28,8,70,14,False
955595,2023-06-28,13,34,12,False
955596,2023-06-28,15,86,2,True
955597,2023-06-28,3,65,14,False
955598,2023-06-28,8,73,14,False
955599,2023-06-28,18,92,1,True
955600,2023-06-28,9,81,6,False
955601,2023-06-28,4,32,12,False
955602,2023-06-28,9,95,1,True
955603,2023-06-28,33,63,8,False
955604,2023-06-28,23,56,10,False
955605,2023-06-28,26,13,5,False
955606,2023-06-28,18,48,14,False
955607,2023-06-28,12,13,14,False
955608,2023-06-28,13,4,8,False
955609,2023-06-28,38,72,15,False
955610,2023-06-28,27,8,10,False
955611,2023-06-28,38,5,15,False
955612,2023-06-28,23,78,20,False
955613,2023-06-28,27,80,10,False
