ProdId,ProdCode,ProdBrand,ProdCost,ProdPrice
1,Mac Pro-X128-SSD-9ZKh6,Mac Pro,700,900
2,Acer-X128-HDD-SPHn2,Acer,500,1200
3,Asus-X64-SSD-XX2Q7,Asus,300,900
4,Mac Pro-X128-HDD-ZUa4r,Mac Pro,700,1200
5,Acer-X128-SSD-CBRHg,Acer,300,900
6,Asus-X64-HDD-DCmdj,Asus,600,1000
7,Mac Pro-X64-SSD-UduPW,Mac Pro,700,900
8,Asus-X32-HDD-792Na,Asus,600,900
9,Acer-X128-HDD-FThRW,Acer,600,1500
10,Asus-X64-SSD-AWxYK,Asus,500,900
11,Thinkpad-X64-SSD-5fgEN,Thinkpad,700,1000
12,Thinkpad-X128-HDD-63BDf,Thinkpad,300,2000
13,Acer-X64-HDD-8i7hp,Acer,300,1000
14,HP-X128-HDD-iEgnh,HP,500,1000
15,Dell-X64-SSD-VCBEm,Dell,300,1000
16,Dell-X64-SSD-PsfHL,Dell,800,900
17,Visio-X128-SSD-8cYHe,Visio,800,1500
18,Mac Pro-X64-HDD-RfwPW,Mac Pro,600,1200
19,Dell-X32-HDD-Nt9Dn,Dell,500,900
20,Dell-X32-SSD-FgS8F,Dell,800,900
21,Acer-X32-SSD-RCEzc,Acer,700,2500
22,Acer-X128-SSD-EwqtF,Acer,800,900
23,HP-X64-HDD-KfmiY,HP,700,2500
24,Asus-X64-SSD-UdkHL,Asus,300,900
25,Asus-X128-SSD-A25vz,Asus,700,1500
26,Mac Pro-X128-HDD-4ymKw,Mac Pro,400,1200
27,Mac Pro-X64-HDD-XDnPS,Mac Pro,300,1200
28,Thinkpad-X128-HDD-CspsM,Thinkpad,700,1000
29,Asus-X128-SSD-3y9KC,Asus,400,900
30,Acer-X64-HDD-CKAM9,Acer,700,900
31,Asus-X64-HDD-DdnAc,Asus,300,1200
32,HP-X64-SSD-WQRKu,HP,500,2500
33,Thinkpad-X128-HDD-8HYsC,Thinkpad,300,900
34,Thinkpad-X64-SSD-8LdyU,Thinkpad,500,2500
35,HP-X128-SSD-QVVrs,HP,800,2500
36,Acer-X64-HDD-DNtYS,Acer,600,1000
37,Acer-X128-HDD-GYyTc,Acer,400,1200
38,Asus-X32-HDD-7PH2L,Asus,700,2500
39,Thinkpad-X64-HDD-72reW,Thinkpad,800,900
40,Thinkpad-X128-HDD-JgxPT,Thinkpad,600,1200
