StockDate,ProdId,StockQty
2023-06-28,1,1
2023-06-28,2,3
2023-06-28,3,1
2023-06-28,4,1
2023-06-28,5,1
2023-06-28,6,1
2023-06-28,7,1
2023-06-28,8,1
2023-06-28,9,1
2023-06-28,10,1
2023-06-28,11,2
2023-06-28,12,5
2023-06-28,13,1
2023-06-28,14,4
2023-06-28,15,1
2023-06-28,16,1
2023-06-28,17,5
2023-06-28,18,1
2023-06-28,19,1
2023-06-28,20,1
2023-06-28,21,1
2023-06-28,22,2
2023-06-28,23,1
2023-06-28,24,2
2023-06-28,25,1
2023-06-28,26,1
2023-06-28,27,2
2023-06-28,28,2
2023-06-28,29,1
2023-06-28,30,1
2023-06-28,31,1
2023-06-28,32,6
2023-06-28,33,3
2023-06-28,34,1
2023-06-28,35,1
2023-06-28,36,1
2023-06-28,37,2
2023-06-28,38,1
2023-06-28,39,2
2023-06-28,40,1
